model_name,max_length,dropout,hidden_dims,batch_size,epochs,lr_encoder,lr_head,weight_decay,warmup_ratio,test_mae,test_r2,test_smape,time_seconds
microsoft/deberta-v3-small,160,0.3,"[768, 384]",32,7,3e-05,0.002,0.01,0.1,11.083695411682129,0.4042033553123474,51.39504671096802,362.322741
microsoft/deberta-v3-small,160,0.2,"[768, 384]",32,7,3e-05,0.001,0.01,0.1,11.220259666442871,0.4137321710586548,51.59558653831482,355.512809
microsoft/deberta-v3-small,160,0.2,"[768, 384]",32,7,3e-05,0.002,0.01,0.1,11.256964683532715,0.40467512607574463,51.661479473114014,353.056663
microsoft/deberta-v3-small,160,0.3,"[768, 384]",32,7,3e-05,0.001,0.01,0.1,11.598947525024414,0.40838623046875,51.995301246643066,351.15418
